Codigo;Provincias;Periodo;Total
13;Ciudad Real;1996;2294
13;Ciudad Real;1995;2329
13;Ciudad Real;1994;2415
13;Ciudad Real;1993;2650
13;Ciudad Real;1992;2865
13;Ciudad Real;1991;2812
13;Ciudad Real;1990;3014
13;Ciudad Real;1989;3114
13;Ciudad Real;1988;3079
13;Ciudad Real;1987;2946
13;Ciudad Real;1986;2926
13;Ciudad Real;1985;2783
13;Ciudad Real;1984;2789
13;Ciudad Real;1983;2920
13;Ciudad Real;1982;2729
13;Ciudad Real;1981;2925
13;Ciudad Real;1980;2843
13;Ciudad Real;1979;2879
13;Ciudad Real;1978;2784
13;Ciudad Real;1977;2824
13;Ciudad Real;1976;2670
13;Ciudad Real;1975;2694
14;Córdoba;2021;2246
14;Córdoba;2020;1193
14;Córdoba;2019;2750
14;Córdoba;2018;2769
14;Córdoba;2017;2841
14;Córdoba;2016;2952
14;Córdoba;2015;2701
14;Córdoba;2014;2550
14;Córdoba;2013;2336
14;Córdoba;2012;2708
14;Córdoba;2011;2760
14;Córdoba;2010;2911
14;Córdoba;2009;3290
14;Córdoba;2008;3893
14;Córdoba;2007;3971
14;Córdoba;2006;4042
14;Córdoba;2005;3979
14;Córdoba;2004;4057
14;Córdoba;2003;4160
14;Córdoba;2002;4082
14;Córdoba;2001;4226
14;Córdoba;2000;4362
14;Córdoba;1999;4203
14;Córdoba;1998;4134
14;Córdoba;1997;3836
14;Córdoba;1996;3867
14;Córdoba;1995;4133
14;Córdoba;1994;4219
14;Córdoba;1993;4165
14;Córdoba;1992;4722
14;Córdoba;1991;4778
14;Córdoba;1990;5044
14;Córdoba;1989;5093
14;Córdoba;1988;5041
14;Córdoba;1987;4984
14;Córdoba;1986;4875
14;Córdoba;1985;4563
14;Córdoba;1984;4597
14;Córdoba;1983;4741
14;Córdoba;1982;4560
14;Córdoba;1981;4281
14;Córdoba;1980;4667
14;Córdoba;1979;4781
14;Córdoba;1978;4852
14;Córdoba;1977;4563
14;Córdoba;1976;4769
14;Córdoba;1975;4731
15;Coruña, A;2021;3577
15;Coruña, A;2020;2400
15;Coruña, A;2019;4034
15;Coruña, A;2018;3879
15;Coruña, A;2017;4055
15;Coruña, A;2016;4120
15;Coruña, A;2015;4120
15;Coruña, A;2014;3963
15;Coruña, A;2013;3789
15;Coruña, A;2012;4292
15;Coruña, A;2011;4077
15;Coruña, A;2010;4290
15;Coruña, A;2009;4397
15;Coruña, A;2008;4741
15;Coruña, A;2007;4749
15;Coruña, A;2006;4776
15;Coruña, A;2005;4683
15;Coruña, A;2004;4899
15;Coruña, A;2003;4745
15;Coruña, A;2002;4874
15;Coruña, A;2001;4651
15;Coruña, A;2000;5039
15;Coruña, A;1999;4973
15;Coruña, A;1998;4823
15;Coruña, A;1997;4888
15;Coruña, A;1996;4851
15;Coruña, A;1995;4874
15;Coruña, A;1994;4851
15;Coruña, A;1993;5086
15;Coruña, A;1992;5506
15;Coruña, A;1991;5403
15;Coruña, A;1990;5683
15;Coruña, A;1989;5721
15;Coruña, A;1988;5805
15;Coruña, A;1987;5811
15;Coruña, A;1986;5544
15;Coruña, A;1985;5624
15;Coruña, A;1984;6046
15;Coruña, A;1983;5972
15;Coruña, A;1982;6133
15;Coruña, A;1981;4919
15;Coruña, A;1980;5374
15;Coruña, A;1979;7603
15;Coruña, A;1978;7808
15;Coruña, A;1977;7790
15;Coruña, A;1976;8024
15;Coruña, A;1975;7931
16;Cuenca;2021;490
16;Cuenca;2020;243
16;Cuenca;2019;547
16;Cuenca;2018;567
16;Cuenca;2017;489
16;Cuenca;2016;544
16;Cuenca;2015;582
16;Cuenca;2014;566
16;Cuenca;2013;553
16;Cuenca;2012;609
