Codigo;Provincias;Sexo;Periodo;Total
01;Álava/Araba;Hombres;1990;1179
01;Álava/Araba;Hombres;1989;1279
01;Álava/Araba;Hombres;1988;1322
01;Álava/Araba;Hombres;1987;1361
01;Álava/Araba;Hombres;1986;1431
01;Álava/Araba;Hombres;1985;1527
01;Álava/Araba;Hombres;1984;1635
01;Álava/Araba;Hombres;1983;1754
01;Álava/Araba;Hombres;1982;1784
01;Álava/Araba;Hombres;1981;1889
01;Álava/Araba;Hombres;1980;2102
01;Álava/Araba;Hombres;1979;2089
01;Álava/Araba;Hombres;1978;2319
01;Álava/Araba;Hombres;1977;2429
01;Álava/Araba;Hombres;1976;2508
01;Álava/Araba;Hombres;1975;2448
01;Álava/Araba;Mujeres;2021;1132
01;Álava/Araba;Mujeres;2020;1160
01;Álava/Araba;Mujeres;2019;1256
01;Álava/Araba;Mujeres;2018;1297
01;Álava/Araba;Mujeres;2017;1464
01;Álava/Araba;Mujeres;2016;1528
01;Álava/Araba;Mujeres;2015;1523
01;Álava/Araba;Mujeres;2014;1601
01;Álava/Araba;Mujeres;2013;1481
01;Álava/Araba;Mujeres;2012;1553
01;Álava/Araba;Mujeres;2011;1685
01;Álava/Araba;Mujeres;2010;1608
01;Álava/Araba;Mujeres;2009;1537
01;Álava/Araba;Mujeres;2008;1534
01;Álava/Araba;Mujeres;2007;1513
01;Álava/Araba;Mujeres;2006;1394
01;Álava/Araba;Mujeres;2005;1386
01;Álava/Araba;Mujeres;2004;1358
01;Álava/Araba;Mujeres;2003;1303
01;Álava/Araba;Mujeres;2002;1215
01;Álava/Araba;Mujeres;2001;1204
01;Álava/Araba;Mujeres;2000;1203
01;Álava/Araba;Mujeres;1999;1185
01;Álava/Araba;Mujeres;1998;1112
01;Álava/Araba;Mujeres;1997;1085
01;Álava/Araba;Mujeres;1996;1073
01;Álava/Araba;Mujeres;1995;1010
01;Álava/Araba;Mujeres;1994;990
01;Álava/Araba;Mujeres;1993;1116
01;Álava/Araba;Mujeres;1992;1088
01;Álava/Araba;Mujeres;1991;1104
01;Álava/Araba;Mujeres;1990;1145
01;Álava/Araba;Mujeres;1989;1140
01;Álava/Araba;Mujeres;1988;1301
01;Álava/Araba;Mujeres;1987;1243
01;Álava/Araba;Mujeres;1986;1297
01;Álava/Araba;Mujeres;1985;1481
01;Álava/Araba;Mujeres;1984;1473
01;Álava/Araba;Mujeres;1983;1620
01;Álava/Araba;Mujeres;1982;1652
01;Álava/Araba;Mujeres;1981;1821
01;Álava/Araba;Mujeres;1980;1815
01;Álava/Araba;Mujeres;1979;2074
01;Álava/Araba;Mujeres;1978;2241
01;Álava/Araba;Mujeres;1977;2205
01;Álava/Araba;Mujeres;1976;2301
01;Álava/Araba;Mujeres;1975;2385
33;Asturias;Total;2021;4785
33;Asturias;Total;2020;4771
33;Asturias;Total;2019;5152
33;Asturias;Total;2018;5733
