Sexo;Edad;Provincias;Periodo;Total
Ambos sexos;Total;05 Ávila;1 de enero de 1973;205.980,423198
Ambos sexos;Total;05 Ávila;1 de enero de 1972;208.726,588778
Ambos sexos;Total;05 Ávila;1 de enero de 1971;211.556,44
Ambos sexos;Total;06 Badajoz;1 de enero de 2022;666.954,696797
Ambos sexos;Total;06 Badajoz;1 de enero de 2021;669.594,296877
Ambos sexos;Total;06 Badajoz;1 de enero de 2020;670.903,201095
Ambos sexos;Total;06 Badajoz;1 de enero de 2019;672.492,981412
Ambos sexos;Total;06 Badajoz;1 de enero de 2018;674.925,692274
Ambos sexos;Total;06 Badajoz;1 de enero de 2017;678.473,061736
Ambos sexos;Total;06 Badajoz;1 de enero de 2016;682.571,709658
Ambos sexos;Total;06 Badajoz;1 de enero de 2015;686.092,284059
Ambos sexos;Total;06 Badajoz;1 de enero de 2014;688.646,789708
Ambos sexos;Total;06 Badajoz;1 de enero de 2013;690.893,996957
Ambos sexos;Total;06 Badajoz;1 de enero de 2012;691.841,504762
Ambos sexos;Total;06 Badajoz;1 de enero de 2011;689.902,490383
Ambos sexos;Total;06 Badajoz;1 de enero de 2010;687.745,292972
Ambos sexos;Total;06 Badajoz;1 de enero de 2009;684.390,859594
Ambos sexos;Total;06 Badajoz;1 de enero de 2008;680.674,530958
Ambos sexos;Total;06 Badajoz;1 de enero de 2007;674.169,234863
Ambos sexos;Total;06 Badajoz;1 de enero de 2006;668.509,728257
