Codigo;Provincias;Sexo;Periodo;Total
04;Almería;Total;2009;4598
04;Almería;Total;2008;4609
04;Almería;Total;2007;4663
04;Almería;Total;2006;4358
04;Almería;Total;2005;4574
04;Almería;Total;2004;4350
04;Almería;Total;2003;4390
04;Almería;Total;2002;4300
04;Almería;Total;2001;4081
04;Almería;Total;2000;3960
04;Almería;Total;1999;4118
04;Almería;Total;1998;3898
04;Almería;Total;1997;3862
04;Almería;Total;1996;3936
04;Almería;Total;1995;3669
04;Almería;Total;1994;3586
04;Almería;Total;1993;3660
04;Almería;Total;1992;3441
04;Almería;Total;1991;3593
04;Almería;Total;1990;3495
04;Almería;Total;1989;3584
04;Almería;Total;1988;3402
04;Almería;Total;1987;3329
04;Almería;Total;1986;3304
04;Almería;Total;1985;3196
04;Almería;Total;1984;2958
04;Almería;Total;1983;3174
04;Almería;Total;1982;3005
04;Almería;Total;1981;3226
04;Almería;Total;1980;3208
04;Almería;Total;1979;3228
04;Almería;Total;1978;3379
04;Almería;Total;1977;3244
04;Almería;Total;1976;3302
04;Almería;Total;1975;3374
04;Almería;Hombres;2021;3371
04;Almería;Hombres;2020;3051
04;Almería;Hombres;2019;2862
04;Almería;Hombres;2018;3021
04;Almería;Hombres;2017;2733
04;Almería;Hombres;2016;2631
04;Almería;Hombres;2015;2801
04;Almería;Hombres;2014;2551
04;Almería;Hombres;2013;2490
04;Almería;Hombres;2012;2610
04;Almería;Hombres;2011;2564
04;Almería;Hombres;2010;2457
04;Almería;Hombres;2009;2468
04;Almería;Hombres;2008;2526
04;Almería;Hombres;2007;2491
04;Almería;Hombres;2006;2409
04;Almería;Hombres;2005;2456
04;Almería;Hombres;2004;2402
04;Almería;Hombres;2003;2429
04;Almería;Hombres;2002;2305
04;Almería;Hombres;2001;2256
04;Almería;Hombres;2000;2143
04;Almería;Hombres;1999;2289
04;Almería;Hombres;1998;2094
04;Almería;Hombres;1997;2070
04;Almería;Hombres;1996;2087
04;Almería;Hombres;1995;1990
04;Almería;Hombres;1994;1894
04;Almería;Hombres;1993;1972
04;Almería;Hombres;1992;1852
04;Almería;Hombres;1991;1876
04;Almería;Hombres;1990;1919
04;Almería;Hombres;1989;1891
04;Almería;Hombres;1988;1785
04;Almería;Hombres;1987;1742
04;Almería;Hombres;1986;1710
04;Almería;Hombres;1985;1658
04;Almería;Hombres;1984;1563
04;Almería;Hombres;1983;1632
04;Almería;Hombres;1982;1519
04;Almería;Hombres;1981;1649
04;Almería;Hombres;1980;1591
04;Almería;Hombres;1979;1631
04;Almería;Hombres;1978;1765
04;Almería;Hombres;1977;1606
04;Almería;Hombres;1976;1650
04;Almería;Hombres;1975;1713
04;Almería;Mujeres;2021;2832
04;Almería;Mujeres;2020;2647
04;Almería;Mujeres;2019;2408
04;Almería;Mujeres;2018;2522
04;Almería;Mujeres;2017;2473
04;Almería;Mujeres;2016;2338
04;Almería;Mujeres;2015;2506
04;Almería;Mujeres;2014;2213
04;Almería;Mujeres;2013;2247
04;Almería;Mujeres;2012;2338
04;Almería;Mujeres;2011;2195
04;Almería;Mujeres;2010;2122
04;Almería;Mujeres;2009;2130
04;Almería;Mujeres;2008;2083
04;Almería;Mujeres;2007;2172
04;Almería;Mujeres;2006;1949
04;Almería;Mujeres;2005;2118
04;Almería;Mujeres;2004;1948
04;Almería;Mujeres;2003;1961
04;Almería;Mujeres;2002;1995
04;Almería;Mujeres;2001;1825
04;Almería;Mujeres;2000;1817
04;Almería;Mujeres;1999;1829
04;Almería;Mujeres;1998;1804
04;Almería;Mujeres;1997;1792
04;Almería;Mujeres;1996;1849
04;Almería;Mujeres;1995;1679
04;Almería;Mujeres;1994;1692
04;Almería;Mujeres;1993;1688
04;Almería;Mujeres;1992;1589
04;Almería;Mujeres;1991;1717
04;Almería;Mujeres;1990;1576
04;Almería;Mujeres;1989;1693
04;Almería;Mujeres;1988;1617
04;Almería;Mujeres;1987;1587
04;Almería;Mujeres;1986;1594
04;Almería;Mujeres;1985;1538
04;Almería;Mujeres;1984;1395
04;Almería;Mujeres;1983;1542
04;Almería;Mujeres;1982;1486
04;Almería;Mujeres;1981;1577
04;Almería;Mujeres;1980;1617
04;Almería;Mujeres;1979;1597
04;Almería;Mujeres;1978;1614
04;Almería;Mujeres;1977;1638
04;Almería;Mujeres;1976;1652
04;Almería;Mujeres;1975;1661
01;Araba/Álava;Total;2021;2972
01;Araba/Álava;Total;2020;3267
01;Araba/Álava;Total;2019;2738
01;Araba/Álava;Total;2018;2765
01;Araba/Álava;Total;2017;2812
01;Araba/Álava;Total;2016;2688
01;Araba/Álava;Total;2015;2766
01;Araba/Álava;Total;2014;2476
01;Araba/Álava;Total;2013;2583
01;Araba/Álava;Total;2012;2521
01;Araba/Álava;Total;2011;2519
01;Araba/Álava;Total;2010;2430
01;Araba/Álava;Total;2009;2490
01;Araba/Álava;Total;2008;2412
01;Araba/Álava;Total;2007;2414
01;Araba/Álava;Total;2006;2247
01;Araba/Álava;Total;2005;2500
01;Araba/Álava;Total;2004;2275
01;Araba/Álava;Total;2003;2357
01;Araba/Álava;Total;2002;2168
01;Araba/Álava;Total;2001;2220
01;Araba/Álava;Total;2000;2192
01;Araba/Álava;Total;1999;2272
